employee_id,age,gender,education,department,job_role,resume_text,skills,job_description,required_skills,experience_years,monthly_income,performance_rating,job_satisfaction,environment_satisfaction,relationship_satisfaction,work_life_balance,training_times_last_year,years_at_company,years_in_current_role,years_since_last_promotion,overtime,business_travel,location,attrition
27,24,Female,M.Sc,IT,Cloud Engineer,"Experienced Cloud Engineer skilled in Linux, Azure, AWS, Docker with 1 years of experience.","Linux, Azure, AWS, Docker","We are hiring a Cloud Engineer with experience in AWS, Linux, Azure. Candidate should have strong problem-solving skills.","AWS, Linux, Azure",1,451317,3,5,5,1,1,8,1,1,0,No,Frequently,Hyderabad,No
28,21,Female,B.Sc,IT,Software Engineer,"Experienced Software Engineer skilled in C++, Git, Java, SQL with 9 years of experience.","C++, Git, Java, SQL","We are hiring a Software Engineer with experience in SQL, Git, C++. Candidate should have strong problem-solving skills.","SQL, Git, C++",9,1151963,4,4,5,3,4,3,1,1,1,No,Frequently,Bangalore,Yes
29,21,Male,B.Sc,IT,Software Engineer,"Experienced Software Engineer skilled in C++, Python, SQL, Git with 4 years of experience.","C++, Python, SQL, Git","We are hiring a Software Engineer with experience in Git, SQL, C++. Candidate should have strong problem-solving skills.","Git, SQL, C++",4,727768,3,5,5,2,1,3,5,3,3,Yes,Frequently,Bangalore,No
30,44,Male,B.Sc,IT,Cloud Engineer,"Experienced Cloud Engineer skilled in Azure, Docker, Linux, Terraform with 7 years of experience.","Azure, Docker, Linux, Terraform","We are hiring a Cloud Engineer with experience in Azure, Docker, AWS. Candidate should have strong problem-solving skills.","Azure, Docker, AWS",7,985217,5,3,5,3,4,7,4,2,2,No,Rarely,Bangalore,No
31,39,Female,M.Tech,IT,Software Engineer,"Experienced Software Engineer skilled in Python, SQL, Java, Git with 4 years of experience.","Python, SQL, Java, Git","We are hiring a Software Engineer with experience in Git, Java, SQL. Candidate should have strong problem-solving skills.","Git, Java, SQL",4,746411,3,2,1,5,3,4,0,0,1,Yes,Frequently,Mumbai,No
32,40,Male,B.Tech,IT,Software Engineer,"Experienced Software Engineer skilled in Python, C++, Java, Git with 7 years of experience.","Python, C++, Java, Git","We are hiring a Software Engineer with experience in Java, Git, Python. Candidate should have strong problem-solving skills.","Java, Git, Python",7,906164,1,4,1,5,4,2,2,2,1,Yes,No Travel,Mumbai,No
33,21,Female,B.Sc,IT,Software Engineer,"Experienced Software Engineer skilled in Git, Python, SQL, C++ with 4 years of experience.","Git, Python, SQL, C++","We are hiring a Software Engineer with experience in SQL, Java, Git. Candidate should have strong problem-solving skills.","SQL, Java, Git",4,716439,5,1,1,2,5,4,5,0,1,Yes,Frequently,Hyderabad,No
34,26,Female,BCA,IT,Software Engineer,"Experienced Software Engineer skilled in Python, Java, Git, C++ with 11 years of experience.","Python, Java, Git, C++","We are hiring a Software Engineer with experience in C++, Java, Git. Candidate should have strong problem-solving skills.","C++, Java, Git",11,1334816,4,1,3,5,2,6,1,0,0,Yes,No Travel,Hyderabad,Yes
35,42,Male,MCA,IT,DevOps Engineer,"Experienced DevOps Engineer skilled in Linux, Docker, Kubernetes, AWS with 11 years of experience.","Linux, Docker, Kubernetes, AWS","We are hiring a DevOps Engineer with experience in Docker, CI/CD, Linux. Candidate should have strong problem-solving skills.","Docker, CI/CD, Linux",11,1364129,3,5,4,4,5,9,0,1,1,Yes,No Travel,Pune,No
36,42,Female,B.Sc,IT,Backend Developer,"Experienced Backend Developer skilled in Flask, MongoDB, REST API, Docker with 2 years of experience.","Flask, MongoDB, REST API, Docker","We are hiring a Backend Developer with experience in MongoDB, Docker, Django. Candidate should have strong problem-solving skills.","MongoDB, Docker, Django",2,511079,4,4,4,3,1,5,2,2,0,No,No Travel,Ahmedabad,No
37,29,Male,MCA,IT,Software Engineer,"Experienced Software Engineer skilled in Java, Python, C++, Git with 1 years of experience.","Java, Python, C++, Git","We are hiring a Software Engineer with experience in Git, Java, SQL. Candidate should have strong problem-solving skills.","Git, Java, SQL",1,514148,5,1,4,4,5,3,2,1,2,Yes,Frequently,Mumbai,Yes
38,43,Female,M.Tech,IT,Software Engineer,"Experienced Software Engineer skilled in Java, SQL, Python, Git with 11 years of experience.","Java, SQL, Python, Git","We are hiring a Software Engineer with experience in Git, Python, SQL. Candidate should have strong problem-solving skills.","Git, Python, SQL",11,1369896,3,5,5,4,1,3,1,1,0,Yes,Frequently,Mumbai,No
39,35,Female,M.Tech,IT,Software Engineer,"Experienced Software Engineer skilled in C++, Git, Python, Java with 6 years of experience.","C++, Git, Python, Java","We are hiring a Software Engineer with experience in SQL, Git, Java. Candidate should have strong problem-solving skills.","SQL, Git, Java",6,960164,5,5,1,3,2,5,4,0,2,No,Frequently,Pune,No
40,35,Male,MCA,IT,Cloud Engineer,"Experienced Cloud Engineer skilled in Linux, Docker, AWS, Terraform with 9 years of experience.","Linux, Docker, AWS, Terraform","We are hiring a Cloud Engineer with experience in Azure, Docker, AWS. Candidate should have strong problem-solving skills.","Azure, Docker, AWS",9,1154923,2,4,3,4,1,6,10,10,2,No,No Travel,Mumbai,No
41,41,Female,B.Tech,IT,Backend Developer,"Experienced Backend Developer skilled in Docker, Flask, MongoDB, Django with 2 years of experience.","Docker, Flask, MongoDB, Django","We are hiring a Backend Developer with experience in REST API, Python, Flask. Candidate should have strong problem-solving skills.","REST API, Python, Flask",2,560912,4,3,5,4,3,5,3,2,3,Yes,Rarely,Hyderabad,No
42,26,Male,M.Sc,IT,Frontend Developer,"Experienced Frontend Developer skilled in React, HTML, Angular, CSS with 2 years of experience.","React, HTML, Angular, CSS","We are hiring a Frontend Developer with experience in Angular, CSS, Bootstrap. Candidate should have strong problem-solving skills.","Angular, CSS, Bootstrap",2,507007,3,1,3,1,1,5,2,1,0,No,No Travel,Mumbai,Yes
43,27,Female,BCA,IT,Machine Learning Engineer,"Experienced Machine Learning Engineer skilled in Deep Learning, PyTorch, Python, AWS with 10 years of experience.","Deep Learning, PyTorch, Python, AWS","We are hiring a Machine Learning Engineer with experience in TensorFlow, Deep Learning, PyTorch. Candidate should have strong problem-solving skills.","TensorFlow, Deep Learning, PyTorch",10,1293746,4,3,4,3,1,1,7,5,4,Yes,Frequently,Ahmedabad,Yes
44,29,Male,BCA,IT,Machine Learning Engineer,"Experienced Machine Learning Engineer skilled in Deep Learning, TensorFlow, AWS, PyTorch with 11 years of experience.","Deep Learning, TensorFlow, AWS, PyTorch","We are hiring a Machine Learning Engineer with experience in PyTorch, AWS, TensorFlow. Candidate should have strong problem-solving skills.","PyTorch, AWS, TensorFlow",11,1285162,1,4,1,5,3,9,11,7,4,Yes,No Travel,Ahmedabad,No
45,24,Female,M.Sc,IT,Backend Developer,"Experienced Backend Developer skilled in Django, MongoDB, Python, Docker with 5 years of experience.","Django, MongoDB, Python, Docker","We are hiring a Backend Developer with experience in MongoDB, Django, REST API. Candidate should have strong problem-solving skills.","MongoDB, Django, REST API",5,751567,2,1,3,4,3,3,1,1,1,Yes,Rarely,Bangalore,No
46,28,Male,BCA,IT,Machine Learning Engineer,"Experienced Machine Learning Engineer skilled in Deep Learning, TensorFlow, Python, PyTorch with 0 years of experience.","Deep Learning, TensorFlow, Python, PyTorch","We are hiring a Machine Learning Engineer with experience in AWS, TensorFlow, Deep Learning. Candidate should have strong problem-solving skills.","AWS, TensorFlow, Deep Learning",0,386797,5,1,3,3,4,10,1,0,0,No,No Travel,Mumbai,No
47,24,Female,BCA,IT,DevOps Engineer,"Experienced DevOps Engineer skilled in Linux, Docker, CI/CD, AWS with 0 years of experience.","Linux, Docker, CI/CD, AWS","We are hiring a DevOps Engineer with experience in Kubernetes, Linux, AWS. Candidate should have strong problem-solving skills.","Kubernetes, Linux, AWS",0,386983,4,1,2,5,1,6,1,1,1,Yes,No Travel,Mumbai,Yes
48,31,Male,M.Tech,IT,DevOps Engineer,"Experienced DevOps Engineer skilled in Docker, AWS, CI/CD, Kubernetes with 7 years of experience.","Docker, AWS, CI/CD, Kubernetes","We are hiring a DevOps Engineer with experience in Kubernetes, Docker, Linux. Candidate should have strong problem-solving skills.","Kubernetes, Docker, Linux",7,984600,3,1,5,3,3,6,4,1,0,Yes,Rarely,Delhi,No
49,28,Female,BCA,IT,Machine Learning Engineer,"Experienced Machine Learning Engineer skilled in Python, PyTorch, TensorFlow, AWS with 3 years of experience.","Python, PyTorch, TensorFlow, AWS","We are hiring a Machine Learning Engineer with experience in PyTorch, Python, AWS. Candidate should have strong problem-solving skills.","PyTorch, Python, AWS",3,636646,2,5,3,2,1,8,2,0,0,Yes,Rarely,Bangalore,No
50,36,Female,B.Tech,IT,DevOps Engineer,"Experienced DevOps Engineer skilled in Docker, Kubernetes, AWS, Linux with 8 years of experience.","Docker, Kubernetes, AWS, Linux","We are hiring a DevOps Engineer with experience in Linux, Docker, CI/CD. Candidate should have strong problem-solving skills.","Linux, Docker, CI/CD",8,1080321,1,4,3,5,4,7,8,3,0,Yes,Frequently,Hyderabad,No
51,34,Female,B.Sc,IT,Frontend Developer,"Experienced Frontend Developer skilled in React, Bootstrap, HTML, Angular with 5 years of experience.","React, Bootstrap, HTML, Angular","We are hiring a Frontend Developer with experience in HTML, Bootstrap, CSS. Candidate should have strong problem-solving skills.","HTML, Bootstrap, CSS",5,789469,2,1,3,5,2,6,4,4,2,No,Rarely,Mumbai,Yes
52,22,Female,MCA,IT,Full Stack Developer,"Experienced Full Stack Developer skilled in ExpressJS, REST API, NodeJS, React with 5 years of experience.","ExpressJS, REST API, NodeJS, React","We are hiring a Full Stack Developer with experience in MongoDB, NodeJS, REST API. Candidate should have strong problem-solving skills.","MongoDB, NodeJS, REST API",5,801606,3,3,2,4,3,1,6,0,0,Yes,No Travel,Ahmedabad,No
53,45,Female,B.Sc,IT,Cloud Engineer,"Experienced Cloud Engineer skilled in Docker, Linux, Terraform, AWS with 4 years of experience.","Docker, Linux, Terraform, AWS","We are hiring a Cloud Engineer with experience in Terraform, Docker, AWS. Candidate should have strong problem-solving skills.","Terraform, Docker, AWS",4,669184,3,3,5,5,1,2,5,3,1,Yes,No Travel,Bangalore,No
54,34,Female,M.Tech,IT,Cloud Engineer,"Experienced Cloud Engineer skilled in Terraform, AWS, Docker, Azure with 0 years of experience.","Terraform, AWS, Docker, Azure","We are hiring a Cloud Engineer with experience in AWS, Azure, Linux. Candidate should have strong problem-solving skills.","AWS, Azure, Linux",0,392120,3,3,3,1,3,2,1,0,0,Yes,Frequently,Bangalore,No
55,34,Male,M.Tech,IT,Full Stack Developer,"Experienced Full Stack Developer skilled in MongoDB, REST API, ExpressJS, React with 0 years of experience.","MongoDB, REST API, ExpressJS, React","We are hiring a Full Stack Developer with experience in NodeJS, React, REST API. Candidate should have strong problem-solving skills.","NodeJS, React, REST API",0,334287,2,5,1,3,1,10,1,1,1,No,Frequently,Hyderabad,No
56,25,Female,B.Sc,IT,Software Engineer,"Experienced Software Engineer skilled in SQL, Python, Java, Git with 6 years of experience.","SQL, Python, Java, Git","We are hiring a Software Engineer with experience in Git, SQL, Java. Candidate should have strong problem-solving skills.","Git, SQL, Java",6,806013,1,1,3,2,2,4,4,2,0,Yes,No Travel,Hyderabad,Yes
57,31,Male,B.Tech,IT,Machine Learning Engineer,"Experienced Machine Learning Engineer skilled in AWS, TensorFlow, Python, PyTorch with 11 years of experience.","AWS, TensorFlow, Python, PyTorch","We are hiring a Machine Learning Engineer with experience in Python, Deep Learning, AWS. Candidate should have strong problem-solving skills.","Python, Deep Learning, AWS",11,1354747,4,1,1,3,4,9,6,5,5,No,No Travel,Mumbai,No
58,32,Male,B.Sc,IT,Full Stack Developer,"Experienced Full Stack Developer skilled in React, ExpressJS, REST API, MongoDB with 6 years of experience.","React, ExpressJS, REST API, MongoDB","We are hiring a Full Stack Developer with experience in REST API, NodeJS, ExpressJS. Candidate should have strong problem-solving skills.","REST API, NodeJS, ExpressJS",6,916910,4,5,4,3,1,3,5,1,0,No,Rarely,Ahmedabad,No
59,41,Female,M.Sc,IT,Data Scientist,"Experienced Data Scientist skilled in NumPy, Pandas, SQL, TensorFlow with 2 years of experience.","NumPy, Pandas, SQL, TensorFlow","We are hiring a Data Scientist with experience in Python, Machine Learning, SQL. Candidate should have strong problem-solving skills.","Python, Machine Learning, SQL",2,464786,1,2,4,5,4,10,2,2,1,No,Frequently,Delhi,Yes
60,31,Female,MCA,IT,Backend Developer,"Experienced Backend Developer skilled in Django, REST API, Python, Flask with 7 years of experience.","Django, REST API, Python, Flask","We are hiring a Backend Developer with experience in MongoDB, REST API, Flask. Candidate should have strong problem-solving skills.","MongoDB, REST API, Flask",7,971064,1,1,3,1,3,9,8,6,7,Yes,No Travel,Bangalore,No
61,41,Female,B.Sc,IT,Backend Developer,"Experienced Backend Developer skilled in MongoDB, Python, Django, Docker with 1 years of experience.","MongoDB, Python, Django, Docker","We are hiring a Backend Developer with experience in Django, REST API, Python. Candidate should have strong problem-solving skills.","Django, REST API, Python",1,423578,2,1,4,4,2,5,1,1,1,Yes,Rarely,Pune,Yes
62,41,Female,M.Sc,IT,Frontend Developer,"Experienced Frontend Developer skilled in Angular, React, JavaScript, CSS with 11 years of experience.","Angular, React, JavaScript, CSS","We are hiring a Frontend Developer with experience in JavaScript, Angular, React. Candidate should have strong problem-solving skills.","JavaScript, Angular, React",11,1392993,5,2,1,5,3,5,4,3,1,Yes,Rarely,Hyderabad,No
63,40,Female,BCA,IT,Frontend Developer,"Experienced Frontend Developer skilled in Bootstrap, React, JavaScript, HTML with 5 years of experience.","Bootstrap, React, JavaScript, HTML","We are hiring a Frontend Developer with experience in Bootstrap, JavaScript, CSS. Candidate should have strong problem-solving skills.","Bootstrap, JavaScript, CSS",5,743256,2,2,4,2,3,2,1,0,1,Yes,Rarely,Bangalore,No
64,35,Female,B.Tech,IT,Data Scientist,"Experienced Data Scientist skilled in TensorFlow, SQL, Pandas, NumPy with 7 years of experience.","TensorFlow, SQL, Pandas, NumPy","We are hiring a Data Scientist with experience in NumPy, SQL, Machine Learning. Candidate should have strong problem-solving skills.","NumPy, SQL, Machine Learning",7,1001474,4,3,4,5,2,7,3,1,2,No,Frequently,Delhi,No
65,35,Female,B.Tech,IT,Cloud Engineer,"Experienced Cloud Engineer skilled in Azure, Terraform, Docker, AWS with 4 years of experience.","Azure, Terraform, Docker, AWS","We are hiring a Cloud Engineer with experience in Linux, AWS, Terraform. Candidate should have strong problem-solving skills.","Linux, AWS, Terraform",4,728893,4,3,1,5,5,4,0,0,1,Yes,Rarely,Mumbai,No
66,40,Male,B.Tech,IT,Backend Developer,"Experienced Backend Developer skilled in MongoDB, REST API, Django, Python with 6 years of experience.","MongoDB, REST API, Django, Python","We are hiring a Backend Developer with experience in Docker, MongoDB, REST API. Candidate should have strong problem-solving skills.","Docker, MongoDB, REST API",6,896925,3,2,3,1,1,2,2,0,1,No,Rarely,Ahmedabad,No
67,37,Male,BCA,IT,DevOps Engineer,"Experienced DevOps Engineer skilled in Kubernetes, CI/CD, AWS, Linux with 1 years of experience.","Kubernetes, CI/CD, AWS, Linux","We are hiring a DevOps Engineer with experience in CI/CD, Docker, AWS. Candidate should have strong problem-solving skills.","CI/CD, Docker, AWS",1,384530,2,3,1,2,1,10,2,1,0,No,No Travel,Bangalore,Yes
68,22,Female,B.Sc,IT,DevOps Engineer,"Experienced DevOps Engineer skilled in Linux, Docker, AWS, Kubernetes with 3 years of experience.","Linux, Docker, AWS, Kubernetes","We are hiring a DevOps Engineer with experience in Docker, Linux, Kubernetes. Candidate should have strong problem-solving skills.","Docker, Linux, Kubernetes",3,652633,4,2,5,3,1,8,4,4,4,Yes,Frequently,Pune,Yes
69,25,Male,M.Sc,IT,Backend Developer,"Experienced Backend Developer skilled in Django, Python, Docker, REST API with 11 years of experience.","Django, Python, Docker, REST API","We are hiring a Backend Developer with experience in Docker, MongoDB, Flask. Candidate should have strong problem-solving skills.","Docker, MongoDB, Flask",11,1344742,1,5,2,1,3,8,5,5,1,No,No Travel,Mumbai,Yes
70,34,Female,BCA,IT,Backend Developer,"Experienced Backend Developer skilled in Django, Flask, Python, MongoDB with 0 years of experience.","Django, Flask, Python, MongoDB","We are hiring a Backend Developer with experience in Django, Python, Docker. Candidate should have strong problem-solving skills.","Django, Python, Docker",0,301265,3,5,5,4,4,0,0,1,1,No,No Travel,Mumbai,No
71,40,Female,B.Sc,IT,Cloud Engineer,"Experienced Cloud Engineer skilled in Docker, Azure, Linux, Terraform with 5 years of experience.","Docker, Azure, Linux, Terraform","We are hiring a Cloud Engineer with experience in Docker, Terraform, Azure. Candidate should have strong problem-solving skills.","Docker, Terraform, Azure",5,755494,3,1,1,4,4,8,2,1,0,Yes,Rarely,Hyderabad,No
72,28,Female,MCA,IT,Software Engineer,"Experienced Software Engineer skilled in Python, Git, Java, C++ with 9 years of experience.","Python, Git, Java, C++","We are hiring a Software Engineer with experience in Java, C++, SQL. Candidate should have strong problem-solving skills.","Java, C++, SQL",9,1162432,3,1,4,3,1,0,2,2,2,Yes,Frequently,Mumbai,Yes
73,37,Female,MCA,IT,Backend Developer,"Experienced Backend Developer skilled in REST API, Flask, MongoDB, Docker with 5 years of experience.","REST API, Flask, MongoDB, Docker","We are hiring a Backend Developer with experience in Docker, Flask, MongoDB. Candidate should have strong problem-solving skills.","Docker, Flask, MongoDB",5,729869,1,5,5,3,2,5,5,2,1,No,No Travel,Ahmedabad,No
74,26,Male,MCA,IT,DevOps Engineer,"Experienced DevOps Engineer skilled in AWS, Linux, Docker, Kubernetes with 11 years of experience.","AWS, Linux, Docker, Kubernetes","We are hiring a DevOps Engineer with experience in Docker, AWS, Kubernetes. Candidate should have strong problem-solving skills.","Docker, AWS, Kubernetes",11,1363000,2,1,1,4,2,7,1,1,1,Yes,Frequently,Delhi,Yes
